episode_index,total_reward,total_time,tests_run,bugs_found,strategy_index,strategy_name,changed_module,change_size
75,-13.66916329531641,233.3832659063282,20,0,-1,baseline_fixed_order,checkout,medium
76,-13.826461173732017,236.52922347464042,20,0,-1,baseline_fixed_order,profile,small
77,-13.951879010386756,239.03758020773503,20,0,-1,baseline_fixed_order,checkout,small
78,-12.983110638150036,219.66221276300072,20,0,-1,baseline_fixed_order,profile,large
79,6.420418159515861,231.59163680968274,20,2,-1,baseline_fixed_order,payments,large
80,-3.462637315428058,229.2527463085611,20,1,-1,baseline_fixed_order,profile,small
81,7.134545825591367,217.30908348817266,20,2,-1,baseline_fixed_order,search,medium
82,-3.636040061880452,232.72080123760907,20,1,-1,baseline_fixed_order,search,small
83,-13.331559535300132,226.63119070600257,20,0,-1,baseline_fixed_order,auth,medium
84,-13.56933939289481,231.38678785789614,20,0,-1,baseline_fixed_order,checkout,medium
85,6.756445488036617,224.87109023926772,20,2,-1,baseline_fixed_order,profile,large
86,6.581517044217085,228.36965911565832,20,2,-1,baseline_fixed_order,auth,medium
87,-13.649893978653125,232.9978795730625,20,0,-1,baseline_fixed_order,notifications,medium
88,-13.267980378464426,225.35960756928853,20,0,-1,baseline_fixed_order,checkout,large
89,-13.334333107958365,226.68666215916724,20,0,-1,baseline_fixed_order,auth,small
90,-13.627024427672081,232.54048855344163,20,0,-1,baseline_fixed_order,auth,medium
91,16.480740637401816,230.3851872519637,20,3,-1,baseline_fixed_order,payments,small
92,-3.851145609627725,237.02291219255443,20,1,-1,baseline_fixed_order,profile,large
93,-13.251520300874235,225.03040601748472,20,0,-1,baseline_fixed_order,search,medium
94,-3.262970357230919,225.25940714461836,20,1,-1,baseline_fixed_order,auth,small
95,6.751525801936789,224.96948396126422,20,2,-1,baseline_fixed_order,search,large
96,-14.511823390549493,250.23646781098984,20,0,-1,baseline_fixed_order,auth,medium
97,-4.087027590614297,241.74055181228593,20,1,-1,baseline_fixed_order,auth,medium
98,-13.691460851646278,233.82921703292553,20,0,-1,baseline_fixed_order,payments,large
99,-13.536822180589697,230.73644361179396,20,0,-1,baseline_fixed_order,checkout,medium
100,-3.448239181157295,228.9647836231459,20,1,-1,baseline_fixed_order,payments,large
101,-13.433189804936042,228.66379609872078,20,0,-1,baseline_fixed_order,payments,medium
102,-13.760278489837923,235.20556979675843,20,0,-1,baseline_fixed_order,search,small
103,-13.219383603758267,224.3876720751653,20,0,-1,baseline_fixed_order,profile,large
104,-32.750315874421865,215.0063174884373,20,0,-1,baseline_fixed_order,payments,small
105,-13.628805231653962,232.57610463307918,20,0,-1,baseline_fixed_order,auth,medium
106,-3.543135074301727,230.8627014860345,20,1,-1,baseline_fixed_order,auth,small
107,-13.997150848809582,239.94301697619167,20,0,-1,baseline_fixed_order,payments,medium
108,-13.075652208034251,221.513044160685,20,0,-1,baseline_fixed_order,notifications,small
109,-14.003193657284921,240.0638731456984,20,0,-1,baseline_fixed_order,profile,small
110,-13.906579955076323,238.13159910152643,20,0,-1,baseline_fixed_order,profile,small
111,-14.223297123498272,244.46594246996537,20,0,-1,baseline_fixed_order,auth,large
112,-13.579141687283107,231.5828337456621,20,0,-1,baseline_fixed_order,checkout,large
113,-13.714826445184448,234.29652890368897,20,0,-1,baseline_fixed_order,notifications,small
114,-13.304209803584166,226.08419607168332,20,0,-1,baseline_fixed_order,checkout,medium
115,-13.165736203537314,223.31472407074634,20,0,-1,baseline_fixed_order,payments,large
116,6.597386705528267,228.05226588943472,20,2,-1,baseline_fixed_order,payments,large
117,-13.921766568704463,238.43533137408926,20,0,-1,baseline_fixed_order,auth,medium
118,-13.327753189473722,226.55506378947442,20,0,-1,baseline_fixed_order,profile,large
119,-13.64713325852859,232.94266517057176,20,0,-1,baseline_fixed_order,search,small
120,-13.808899951705207,236.1779990341041,20,0,-1,baseline_fixed_order,payments,small
121,-3.4203971428075945,228.4079428561519,20,1,-1,baseline_fixed_order,search,small
122,-33.56999060874724,231.3998121749448,20,0,-1,baseline_fixed_order,profile,large
123,-33.543707804348884,230.87415608697773,20,0,-1,baseline_fixed_order,auth,medium
124,26.735462618816115,225.29074762367782,20,4,-1,baseline_fixed_order,checkout,large
125,-13.448053316629457,228.96106633258907,20,0,-1,baseline_fixed_order,notifications,large
126,-13.63016181030666,232.60323620613318,20,0,-1,baseline_fixed_order,notifications,medium
127,-33.44220036420606,228.84400728412118,20,0,-1,baseline_fixed_order,search,small
128,-3.4908927609289733,229.8178552185795,20,1,-1,baseline_fixed_order,auth,large
129,-13.43461982633514,228.6923965267028,20,0,-1,baseline_fixed_order,auth,small
130,-33.70134448771658,234.02688975433165,20,0,-1,baseline_fixed_order,profile,small
131,-13.645676308027378,232.9135261605475,20,0,-1,baseline_fixed_order,profile,medium
132,6.931140453695594,221.37719092608816,20,2,-1,baseline_fixed_order,profile,medium
133,-33.58739478372464,231.74789567449278,20,0,-1,baseline_fixed_order,payments,small
134,5.80184914665533,243.96301706689343,20,2,-1,baseline_fixed_order,profile,small
135,-3.306327955376494,226.1265591075299,20,1,-1,baseline_fixed_order,payments,small
136,5.688653564952723,246.2269287009455,20,2,-1,baseline_fixed_order,auth,large
137,-13.255279830624099,225.10559661248197,20,0,-1,baseline_fixed_order,profile,small
138,6.73653400387746,225.26931992245076,20,2,-1,baseline_fixed_order,search,large
139,16.641921940464076,227.1615611907185,20,3,-1,baseline_fixed_order,checkout,medium
140,6.479273804357891,230.41452391284218,20,2,-1,baseline_fixed_order,checkout,small
141,-13.683971033805284,233.67942067610565,20,0,-1,baseline_fixed_order,search,large
142,-14.01241772164707,240.2483544329414,20,0,-1,baseline_fixed_order,auth,medium
143,-13.959256497426182,239.18512994852364,20,0,-1,baseline_fixed_order,notifications,medium
144,-13.643284608469065,232.8656921693813,20,0,-1,baseline_fixed_order,notifications,medium
145,-13.59426165302334,231.8852330604667,20,0,-1,baseline_fixed_order,notifications,large
146,-13.311531759600205,226.23063519200412,20,0,-1,baseline_fixed_order,auth,large
147,6.998039296102851,220.03921407794294,20,2,-1,baseline_fixed_order,payments,large
148,-14.23286768625512,244.65735372510244,20,0,-1,baseline_fixed_order,profile,large
149,-3.4945465456663882,229.8909309133277,20,1,-1,baseline_fixed_order,payments,medium
150,-3.622960300414964,232.45920600829925,20,1,-1,baseline_fixed_order,profile,large
151,-13.434320168772434,228.68640337544866,20,0,-1,baseline_fixed_order,payments,medium
152,6.480654722632349,230.38690554735305,20,2,-1,baseline_fixed_order,checkout,medium
153,-34.08970921183967,241.7941842367934,20,0,-1,baseline_fixed_order,profile,small
154,-13.572048391544332,231.4409678308866,20,0,-1,baseline_fixed_order,profile,small
155,-13.618205225980743,232.36410451961487,20,0,-1,baseline_fixed_order,checkout,small
156,-13.559915609719178,231.1983121943836,20,0,-1,baseline_fixed_order,profile,large
157,-13.17496091703957,223.49921834079137,20,0,-1,baseline_fixed_order,checkout,large
158,-13.416994039629541,228.33988079259078,20,0,-1,baseline_fixed_order,auth,medium
159,-13.091959990778879,221.8391998155776,20,0,-1,baseline_fixed_order,auth,small
