episode_index,total_reward,total_time,tests_run,bugs_found,strategy_index,strategy_name,changed_module,change_size
84,3.2540901625945162,294.9181967481098,20,2,3,high_risk_first,notifications,medium
85,-10.477213375120435,169.5442675024087,20,0,3,high_risk_first,auth,medium
86,5.329203716582484,253.4159256683503,20,2,3,high_risk_first,search,small
87,-13.198820411729354,223.97640823458704,20,0,3,high_risk_first,payments,large
88,-4.23746066854634,244.7492133709268,20,1,3,high_risk_first,notifications,small
89,-14.93546489924453,258.7092979848905,20,0,3,high_risk_first,payments,medium
90,-3.451459928074348,229.02919856148694,20,1,3,high_risk_first,profile,medium
91,-3.38791590465303,227.75831809306055,20,1,3,high_risk_first,notifications,medium
92,-15.607034037060235,272.1406807412047,20,0,3,high_risk_first,checkout,small
93,-14.396358566179865,247.92717132359724,20,0,3,high_risk_first,search,large
94,-11.400872339657694,188.0174467931538,20,0,3,high_risk_first,payments,large
95,-10.974704012284613,179.49408024569226,20,0,3,high_risk_first,auth,small
96,7.83794985715572,203.24100285688564,20,2,3,high_risk_first,payments,large
97,-14.84111784946193,256.8223569892386,20,0,3,high_risk_first,profile,large
98,-15.792932877591884,275.8586575518376,20,0,3,high_risk_first,profile,medium
99,-13.24562560444807,224.9125120889614,20,0,3,high_risk_first,notifications,small
100,-35.87985680291434,277.5971360582868,20,0,3,high_risk_first,auth,large
101,-1.6690451509724848,193.38090301944965,20,1,3,high_risk_first,profile,medium
102,5.070373239013486,258.5925352197303,20,2,3,high_risk_first,profile,small
103,7.789543343430565,204.20913313138868,20,2,3,high_risk_first,checkout,medium
104,6.801292520765165,223.97414958469668,20,2,3,high_risk_first,auth,small
105,-15.60920542165638,272.1841084331275,20,0,3,high_risk_first,profile,large
106,14.21484957334442,275.7030085331116,20,3,3,high_risk_first,auth,small
107,-35.57496257737055,271.4992515474109,20,0,3,high_risk_first,profile,large
108,-11.036139579669488,180.72279159338973,20,0,3,high_risk_first,profile,medium
109,-13.642617645701927,232.85235291403853,20,0,3,high_risk_first,auth,medium
110,-32.29177885718644,205.83557714372887,20,0,3,high_risk_first,payments,medium
111,-10.346785029495566,166.93570058991128,20,0,3,high_risk_first,checkout,large
112,2.687696775792947,308.246064484141,19,3,3,high_risk_first,notifications,medium
113,-1.0516521289197591,181.03304257839514,20,1,3,high_risk_first,search,small
114,-12.915631143266312,218.31262286532626,20,0,3,high_risk_first,search,large
115,-13.5490641526758,230.981283053516,20,0,3,high_risk_first,auth,large
116,-16.475142145155058,289.5028429031011,20,0,3,high_risk_first,search,small
117,-12.636086315897499,212.72172631795,20,0,3,high_risk_first,search,small
118,-13.334714732890715,226.69429465781425,20,0,3,high_risk_first,checkout,large
119,-14.391420722982973,247.82841445965937,20,0,3,high_risk_first,payments,medium
120,-13.187096337292562,223.74192674585117,20,0,3,high_risk_first,payments,large
121,-14.223118948893319,244.46237897786625,20,0,3,high_risk_first,search,small
122,-12.020311688525068,200.4062337705014,20,0,3,high_risk_first,auth,large
123,19.036506743728225,179.26986512543544,20,3,3,high_risk_first,search,large
124,3.5158062865770754,289.68387426845845,20,2,3,high_risk_first,notifications,large
125,6.846278133739591,223.0744373252081,20,2,3,high_risk_first,profile,large
126,-12.941806368049097,218.83612736098198,20,0,3,high_risk_first,checkout,small
127,-13.233227634869069,224.6645526973813,20,0,3,high_risk_first,search,small
128,-12.889838796497786,217.79677592995577,20,0,3,high_risk_first,search,large
129,-15.387074512697906,267.74149025395815,20,0,3,high_risk_first,payments,large
130,-3.459333289927754,229.18666579855508,20,1,3,high_risk_first,search,medium
131,8.596105244932282,188.0778951013543,20,2,3,high_risk_first,checkout,large
132,-13.838245289661046,236.76490579322095,20,0,3,high_risk_first,checkout,small
133,-15.825127410774696,276.5025482154939,20,0,3,high_risk_first,payments,large
134,-2.410806628929022,208.21613257858047,20,1,3,high_risk_first,auth,medium
135,-10.683547565558076,173.67095131116145,20,0,3,high_risk_first,payments,small
136,16.440086109135986,231.19827781728034,20,3,3,high_risk_first,payments,medium
137,-3.728573577394279,234.57147154788564,20,1,3,high_risk_first,notifications,medium
138,8.303386580497317,193.93226839005368,20,2,3,high_risk_first,auth,large
139,-13.42213118337926,228.4426236675852,20,0,3,high_risk_first,profile,small
140,18.91568908425986,181.68621831480272,20,3,3,high_risk_first,checkout,large
141,4.537982635155283,269.2403472968944,20,2,3,high_risk_first,auth,medium
142,-10.222496483070483,164.44992966140958,20,0,3,high_risk_first,payments,medium
143,-16.51735632768927,290.34712655378536,20,0,3,high_risk_first,notifications,large
144,-11.887891653085475,197.75783306170945,20,0,3,high_risk_first,search,small
145,26.368450533058873,232.6309893388225,20,4,3,high_risk_first,profile,small
146,-2.9976570805123917,219.95314161024783,20,1,3,high_risk_first,search,large
147,-1.1619202228261125,183.23840445652226,20,1,3,high_risk_first,profile,small
148,-12.910370109519949,218.207402190399,20,0,3,high_risk_first,auth,medium
149,-27.091368873587978,301.8273774717595,20,0,3,high_risk_first,notifications,large
150,-13.399095912017952,227.98191824035905,20,0,3,high_risk_first,payments,medium
151,-13.863469949848238,237.26939899696475,20,0,3,high_risk_first,auth,small
152,-11.946678249606478,198.93356499212948,20,0,3,high_risk_first,auth,small
153,-15.661363966969713,273.2272793393943,20,0,3,high_risk_first,notifications,small
154,-11.34073670537302,186.8147341074603,20,0,3,high_risk_first,checkout,medium
155,-13.757534699661964,235.1506939932392,20,0,3,high_risk_first,checkout,small
156,-14.990360433238925,259.8072086647785,20,0,3,high_risk_first,payments,medium
157,16.12954262751648,237.40914744967043,20,3,3,high_risk_first,notifications,medium
158,-14.929859921445107,258.5971984289022,20,0,3,high_risk_first,payments,large
159,-13.803811036850204,236.07622073700415,20,0,3,high_risk_first,search,small
160,-33.72702516374809,234.5405032749618,20,0,3,high_risk_first,auth,small
161,-15.906323260448845,278.12646520897687,20,0,3,high_risk_first,checkout,medium
162,-14.778637420909627,255.57274841819256,20,0,3,high_risk_first,profile,small
163,-12.612602575937151,212.25205151874297,20,0,3,high_risk_first,auth,large
164,-11.387119742655587,187.74239485311173,20,0,3,high_risk_first,checkout,large
165,7.172389588388341,216.55220823223328,20,2,3,high_risk_first,search,large
166,-31.09168622907005,181.833724581401,20,0,3,high_risk_first,checkout,small
167,-11.664008821717363,193.28017643434728,20,0,3,high_risk_first,profile,medium
168,-2.046828737718223,200.93657475436444,20,1,3,high_risk_first,notifications,large
169,-15.300783823345396,266.0156764669079,20,0,3,high_risk_first,notifications,small
170,-14.223596233208912,244.47192466417826,20,0,3,high_risk_first,search,medium
171,34.27664558436859,274.46708831262816,20,5,3,high_risk_first,payments,small
172,-13.358046535902831,227.16093071805653,20,0,3,high_risk_first,search,large
173,-5.666471573140196,273.3294314628039,20,1,3,high_risk_first,notifications,medium
174,-4.293489447732749,245.86978895465492,20,1,3,high_risk_first,notifications,medium
175,2.230926430433904,315.3814713913219,20,3,3,high_risk_first,checkout,small
176,-13.062246483132444,221.24492966264887,20,0,3,high_risk_first,search,large
177,-13.258224849801927,225.16449699603857,20,0,3,high_risk_first,payments,small
178,3.291329968254276,294.17340063491446,20,2,3,high_risk_first,payments,large
179,-9.212642398464734,144.25284796929463,20,0,3,high_risk_first,search,small
180,-14.127718748527425,242.55437497054845,20,0,3,high_risk_first,checkout,large
181,-13.36209301424398,227.24186028487964,20,0,3,high_risk_first,checkout,small
182,6.717051212118238,225.6589757576352,20,2,3,high_risk_first,notifications,small
183,-13.096023206248931,221.9204641249786,20,0,3,high_risk_first,notifications,small
184,-12.053611539713629,201.07223079427257,20,0,3,high_risk_first,auth,small
185,-15.240082393166931,264.80164786333853,20,0,3,high_risk_first,payments,large
186,-32.3235526599785,206.47105319957006,20,0,3,high_risk_first,profile,medium
187,17.255925837760845,214.88148324478314,20,3,3,high_risk_first,payments,medium
188,-14.967424008137566,259.34848016275134,20,0,3,high_risk_first,profile,medium
189,-36.438601899125615,288.7720379825123,20,0,3,high_risk_first,payments,large
190,-12.39703081334554,207.94061626691075,20,0,3,high_risk_first,search,medium
191,-13.9242595285719,238.48519057143798,20,0,3,high_risk_first,profile,small
192,-27.73076023813356,314.6152047626712,20,0,3,high_risk_first,notifications,medium
193,7.7246811551534265,205.50637689693153,20,2,3,high_risk_first,auth,large
194,6.2488093631503885,235.02381273699223,20,2,3,high_risk_first,search,medium
195,-34.271603704183875,245.4320740836774,20,0,3,high_risk_first,profile,large
196,29.588501688924598,168.22996622150814,20,4,3,high_risk_first,auth,small
197,35.3039256423021,253.92148715395808,20,5,3,high_risk_first,search,large
198,-10.66675681907972,173.3351363815944,20,0,3,high_risk_first,profile,medium
199,6.07564808506079,238.48703829878428,20,2,3,high_risk_first,payments,medium
200,-3.88083867443389,237.61677348867775,20,1,3,high_risk_first,auth,small
201,-12.095253421371124,201.90506842742244,20,0,3,high_risk_first,profile,medium
202,-14.37746418643743,247.54928372874852,20,0,3,high_risk_first,payments,medium
203,-12.190948570934463,203.81897141868916,20,0,3,high_risk_first,checkout,small
204,-15.967404783913127,279.3480956782625,20,0,3,high_risk_first,notifications,medium
205,7.575101807870545,208.49796384258912,20,2,3,high_risk_first,search,large
206,-14.021742652290664,240.43485304581324,20,0,3,high_risk_first,payments,medium
207,-10.31806255699425,166.361251139885,20,0,3,high_risk_first,search,large
208,-11.738047314544193,194.7609462908838,20,0,3,high_risk_first,checkout,small
209,28.889936239416045,182.20127521167905,20,4,3,high_risk_first,profile,large
210,-8.977569073811724,139.55138147623444,20,0,3,high_risk_first,search,small
